Gene Symbol	Locus ID	Cytoband	AC-P02-Tumor-SM-63B4K	AC-P04-Tumor-SM-63B4O	AC-P04-Tumor-SM-63B4Q	AC-P05-Tumor-SM-63B4R	AC-P06-Tumor-SM-63B4T	AC-P07-Tumor-SM-63B4V	AC-P08-Tumor-SM-63B4X	AC-P09-Tumor-SM-63B4Z	AC-P09-Tumor-SM-63B52	AC-P10-Tumor-SM-63B53	AC-P10-Tumor-SM-63B55	AC-P11-Tumor-SM-63B56	AC-P12-Tumor-SM-63B58	AC-P12-Tumor-SM-63B59	AC-P14-Tumor-SM-63B5C	AC-P15-Tumor-SM-63B5D	AC-P15-Tumor-SM-63B5F
JHDM1D	80853	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	0.035	0.020	-0.053	0.035	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
LOC100134229	100134229	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.006	-0.112	-0.053	-0.128	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
RAB19	401409	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.027	-0.182	-0.053	-0.214	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
SLC37A3	84255	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.006	-0.112	-0.053	-0.128	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
MKRN1	23608	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	-0.252	-0.053	-0.301	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
DENND2A	27147	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	-0.165	-0.053	-0.048	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
ADCK2	90956	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.011	-0.053	0.061	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
LOC100134713	100134713	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.011	-0.053	0.061	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
NDUFB2	4708	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.011	-0.053	0.061	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
BRAF	673	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.011	-0.053	0.061	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
MRPS33	51650	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.011	-0.053	0.061	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
AGK	55750	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.104	-0.053	0.061	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
LOC100507421	100507421	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.011	-0.053	0.061	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
KIAA1147	57189	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.131	-0.053	0.061	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
FLJ40852	285962	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.131	-0.053	0.061	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
WEE2	494551	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.131	-0.053	0.061	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
SSBP1	6742	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.131	-0.053	0.061	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
TAS2R3	50831	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.131	-0.053	0.061	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
TAS2R4	50832	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.131	-0.053	0.061	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
TAS2R5	54429	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.131	-0.053	0.061	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
PRSS37	136242	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.131	-0.053	0.061	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
OR9A4	130075	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.131	-0.053	0.061	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
CLEC5A	23601	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.131	-0.053	0.037	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
TAS2R38	5726	7q34	0.442	-0.090	-0.288	-0.241	0.004	-0.001	-0.006	-0.048	0.131	-0.053	-0.127	-0.736	-0.312	-0.399	-0.003	-0.067	-0.014
MGAM	8972	7q34	0.440	-0.090	-0.288	-0.239	0.004	-0.001	-0.006	-0.047	0.129	-0.053	-0.220	-0.730	-0.312	-0.400	-0.002	-0.065	-0.014
LOC100124692	100124692	7q34	0.405	-0.090	-0.288	-0.230	0.004	-0.001	-0.006	-0.034	0.092	-0.053	-0.220	-0.653	-0.304	-0.412	0.009	-0.041	-0.014
LOC730441	730441	7q34	0.405	-0.090	-0.288	-0.230	0.004	-0.001	-0.006	-0.034	0.092	-0.053	-0.220	-0.653	-0.304	-0.412	0.009	-0.041	-0.014
LOC93432	93432	7q34	0.405	-0.090	-0.288	-0.230	0.004	-0.001	-0.006	-0.034	0.092	-0.053	-0.220	-0.653	-0.304	-0.412	0.009	-0.041	-0.014
MOXD2P	100289017	7q34	0.405	-0.090	-0.288	-0.230	0.004	-0.001	-0.006	-0.034	0.092	-0.053	-0.220	-0.653	-0.304	-0.412	0.009	-0.041	-0.014
MTRNR2L6	100463482	7q34	0.405	-0.090	-0.288	-0.230	0.004	-0.001	-0.006	-0.034	0.092	-0.053	-0.220	-0.653	-0.304	-0.412	0.009	-0.041	-0.014
PRSS1	5644	7q34	0.405	-0.090	-0.288	-0.230	0.004	-0.001	-0.006	-0.034	0.092	-0.053	-0.220	-0.653	-0.304	-0.412	0.009	-0.041	-0.014
PRSS2	5645	7q34	0.405	-0.090	-0.288	-0.230	0.004	-0.001	-0.006	-0.034	0.092	-0.053	-0.220	-0.653	-0.304	-0.412	0.009	-0.041	-0.014
PRSS58	136541	7q34	0.405	-0.090	-0.288	-0.230	0.004	-0.001	-0.006	-0.034	0.092	-0.053	-0.220	-0.653	-0.304	-0.412	0.009	-0.041	-0.014
TRY6	154754	7q34	0.405	-0.090	-0.288	-0.230	0.004	-0.001	-0.006	-0.034	0.092	-0.053	-0.220	-0.653	-0.304	-0.412	0.009	-0.041	-0.014
EPHB6	2051	7q34	0.368	-0.090	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	0.011	0.018	-0.220	-0.571	-0.295	-0.424	0.020	-0.015	-0.014
TRPV6	55503	7q34	0.368	-0.080	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	-0.084	0.154	-0.106	-0.571	-0.295	-0.419	0.020	-0.015	-0.014
TRPV5	56302	7q34	0.368	0.185	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	-0.084	0.154	0.110	-0.571	-0.295	-0.298	0.020	-0.015	-0.014
C7orf34	135927	7q34	0.368	0.194	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	-0.084	0.154	0.110	-0.571	-0.295	-0.294	0.020	-0.015	-0.014
KEL	3792	7q34	0.368	0.194	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	-0.084	0.154	0.110	-0.571	-0.295	-0.294	0.020	-0.015	-0.014
OR9A2	135924	7q34	0.368	0.194	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	-0.084	0.154	0.110	-0.571	-0.295	-0.294	0.020	-0.015	-0.014
OR6V1	346517	7q34	0.368	0.194	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	-0.084	0.154	0.151	-0.571	-0.295	-0.294	0.020	-0.015	-0.014
OR6W1P	89883	7q34	0.368	0.194	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	-0.084	0.154	0.192	-0.571	-0.295	-0.294	0.020	-0.015	-0.014
PIP	5304	7q34	0.368	0.194	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	-0.084	0.154	0.192	-0.571	-0.295	-0.294	0.020	-0.015	-0.014
TAS2R39	259285	7q34	0.368	0.194	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	-0.084	0.154	0.192	-0.571	-0.295	-0.294	0.020	-0.015	-0.014
TAS2R40	259286	7q34	0.368	0.194	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	-0.084	0.154	0.192	-0.571	-0.295	-0.294	0.020	-0.015	-0.014
GSTK1	373156	7q34	0.368	0.194	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	-0.072	0.154	0.274	-0.571	-0.295	-0.294	0.020	-0.015	-0.014
TMEM139	135932	7q34	0.368	0.194	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	0.071	0.154	0.274	-0.571	-0.295	-0.294	0.020	-0.015	-0.014
CASP2	835	7q34	0.368	0.194	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	0.110	0.154	0.274	-0.571	-0.295	-0.294	0.020	-0.015	-0.014
CLCN1	1180	7q34	0.368	0.194	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	0.110	0.154	0.274	-0.376	-0.295	-0.294	0.020	-0.043	-0.014
FAM131B	9715	7q34	0.368	0.194	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	0.110	0.154	0.274	-0.522	-0.295	-0.294	0.020	-0.174	-0.014
ZYX	7791	7q34	0.368	0.194	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	0.110	0.154	0.274	-0.604	-0.295	-0.294	0.020	-0.174	-0.014
EPHA1	2041	7q34	0.368	0.194	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	-0.030	0.154	0.700	-0.677	-0.295	-0.424	0.020	-0.174	-0.014
LOC285965	285965	7q35	0.366	0.163	-0.288	-0.230	0.004	-0.001	-0.006	-0.050	-0.145	0.129	-0.008	-0.677	-0.295	-0.462	0.018	-0.174	-0.044
TAS2R60	338398	7q35	0.368	0.194	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	-0.145	0.154	-0.008	-0.677	-0.295	-0.462	0.020	-0.174	-0.014
TAS2R41	259287	7q35	0.368	0.194	-0.288	-0.230	0.004	-0.001	-0.006	-0.019	-0.145	0.154	-0.008	-0.677	-0.295	-0.462	0.020	-0.174	-0.014
CTAGE15P	441294	7q35	0.362	0.072	-0.288	-0.230	0.004	-0.001	-0.006	-0.142	-0.145	0.054	-0.008	-0.677	-0.295	-0.462	0.011	-0.174	-0.135
CTAGE6P	340307	7q35	0.362	0.072	-0.288	-0.230	0.004	-0.001	-0.006	-0.142	-0.145	0.054	-0.008	-0.677	-0.295	-0.462	0.011	-0.174	-0.135
FAM115A	9747	7q35	0.362	0.072	-0.288	-0.230	0.004	-0.001	-0.006	-0.142	-0.145	0.054	-0.008	-0.677	-0.295	-0.462	0.011	-0.174	-0.135
FAM115C	285966	7q35	0.362	0.072	-0.288	-0.230	0.004	-0.001	-0.006	-0.142	-0.145	0.054	-0.008	-0.677	-0.295	-0.462	0.011	-0.174	-0.135
LOC154761	154761	7q35	0.362	0.072	-0.288	-0.230	0.004	-0.001	-0.006	-0.142	-0.145	0.054	-0.008	-0.677	-0.295	-0.462	0.011	-0.174	-0.135
OR2F2	135948	7q35	0.357	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.264	-0.145	-0.047	-0.008	-0.677	-0.295	-0.462	0.002	-0.174	-0.255
OR2F1	26211	7q35	0.357	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.264	-0.145	-0.047	-0.008	-0.677	-0.295	-0.462	0.002	-0.174	-0.255
OR6B1	135946	7q35	0.357	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.264	-0.145	-0.047	-0.008	-0.677	-0.295	-0.462	0.002	-0.174	-0.255
OR2A5	393046	7q35	0.357	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.264	-0.145	-0.047	-0.008	-0.677	-0.295	-0.462	0.002	-0.174	-0.255
OR2A25	392138	7q35	0.357	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.264	-0.145	-0.047	-0.008	-0.677	-0.295	-0.462	0.002	-0.174	-0.255
OR2A12	346525	7q35	0.357	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.264	-0.145	-0.047	-0.008	-0.677	-0.295	-0.462	0.002	-0.174	-0.255
OR2A2	442361	7q35	0.357	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.264	-0.145	-0.047	-0.008	-0.677	-0.295	-0.462	0.002	-0.174	-0.255
OR2A14	135941	7q35	0.384	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.264	-0.145	-0.047	-0.008	-0.677	-0.295	-0.462	0.002	-0.174	-0.255
ARHGEF35	445328	7q35	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.137	-0.145	-0.047	-0.008	-0.677	-0.309	-0.426	0.002	-0.172	-0.134
ARHGEF5	7984	7q35	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.137	-0.145	-0.047	-0.008	-0.677	-0.309	-0.426	0.002	-0.172	-0.134
CTAGE4	100128553	7q35	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.137	-0.145	-0.047	-0.008	-0.677	-0.309	-0.426	0.002	-0.172	-0.134
LOC728377	728377	7q35	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.137	-0.145	-0.047	-0.008	-0.677	-0.309	-0.426	0.002	-0.172	-0.134
NOBOX	135935	7q35	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.074	-0.145	-0.047	-0.008	-0.677	-0.316	-0.408	0.002	-0.171	-0.074
OR2A1	346528	7q35	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.137	-0.145	-0.047	-0.008	-0.677	-0.309	-0.426	0.002	-0.172	-0.134
OR2A20P	401428	7q35	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.137	-0.145	-0.047	-0.008	-0.677	-0.309	-0.426	0.002	-0.172	-0.134
OR2A42	402317	7q35	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.137	-0.145	-0.047	-0.008	-0.677	-0.309	-0.426	0.002	-0.172	-0.134
OR2A7	401427	7q35	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.137	-0.145	-0.047	-0.008	-0.677	-0.309	-0.426	0.002	-0.172	-0.134
OR2A9P	441295	7q35	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.137	-0.145	-0.047	-0.008	-0.677	-0.309	-0.426	0.002	-0.172	-0.134
TPK1	27010	7q35	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	-0.145	-0.047	-0.008	-0.677	-0.323	-0.390	0.002	-0.170	-0.013
CNTNAP2	26047	7q35	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	-0.016	-0.047	-0.008	-0.677	-0.323	-0.390	0.002	-0.170	-0.013
MIR548I4	100302191	7q35	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	-0.094	-0.047	-0.008	-0.677	-0.323	-0.390	0.002	-0.170	-0.013
MIR548F4	100313895	7q35	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	-0.145	-0.047	-0.008	-0.677	-0.323	-0.390	0.002	-0.170	-0.013
hsa-mir-548f-4	-1707	7q35	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	-0.145	-0.047	-0.008	-0.677	-0.323	-0.390	0.002	-0.170	-0.013
MIR548F3	100302159	7q35	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	-0.008	-0.677	-0.323	-0.390	0.002	-0.170	-0.013
MIR548T	100422849	7q35	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	-0.008	-0.677	-0.323	-0.390	0.002	-0.170	-0.013
C7orf33	202865	7q36.1	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	-0.008	-0.677	-0.323	-0.390	0.002	-0.147	-0.013
CUL1	8454	7q36.1	0.410	-0.050	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	-0.008	-0.677	-0.323	-0.455	0.002	0.013	-0.013
EZH2	2146	7q36.1	0.410	-0.053	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	-0.008	-0.677	-0.323	-0.513	0.002	0.018	-0.013
PDIA4	9601	7q36.1	0.410	-0.143	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	-0.008	-0.677	-0.323	-0.513	0.002	0.018	-0.013
hsa-mir-1975	-1719	7q36.1	0.410	-0.100	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	-0.008	-0.677	-0.323	-0.513	0.002	0.018	-0.013
ZNF425	155054	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	-0.008	-0.677	-0.323	-0.513	0.002	0.018	-0.013
ZNF786	136051	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	-0.008	-0.677	-0.323	-0.513	0.002	0.018	-0.013
ZNF398	57541	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	-0.008	-0.677	-0.323	-0.513	0.002	0.018	-0.013
ZNF282	8427	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	-0.008	-0.677	-0.323	-0.513	0.002	0.018	-0.013
ZNF212	7988	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	-0.008	-0.677	-0.323	-0.513	0.002	0.018	-0.013
ZNF783	100289678	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	-0.008	-0.677	-0.323	-0.513	0.002	0.018	-0.013
LOC155060	155060	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	-0.008	-0.677	-0.323	-0.513	0.002	0.018	-0.013
ZNF777	27153	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	-0.008	-0.677	-0.323	-0.513	0.002	0.018	-0.013
ZNF746	155061	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	0.259	-0.677	-0.323	-0.513	0.002	0.018	-0.013
ZNF767	79970	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	0.392	-0.677	-0.323	-0.513	0.002	0.018	-0.013
KRBA1	84626	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	0.392	-0.700	-0.323	-0.513	0.002	-0.002	-0.013
ZNF467	168544	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.047	0.392	-0.817	-0.323	-0.513	0.002	-0.161	-0.013
SSPO	23145	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.059	0.392	-0.817	-0.323	-0.513	0.002	-0.161	-0.013
ACTR3C	653857	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.200	0.392	-0.817	-0.323	-0.513	0.002	-0.161	-0.013
ATP6V0E2	155066	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.200	0.392	-0.817	-0.323	-0.513	0.002	-0.161	-0.013
C7orf29	113763	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.200	0.392	-0.817	-0.323	-0.513	0.002	-0.161	-0.013
LOC401431	401431	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.200	0.392	-0.817	-0.323	-0.513	0.002	-0.161	-0.013
LRRC61	65999	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.200	0.392	-0.817	-0.323	-0.513	0.002	-0.161	-0.013
ZNF862	643641	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.200	0.392	-0.817	-0.323	-0.513	0.002	-0.161	-0.013
RARRES2	5919	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.200	0.392	-0.817	-0.323	-0.513	0.002	-0.161	-0.013
REPIN1	29803	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.200	0.392	-0.817	-0.323	-0.513	0.002	-0.161	-0.013
ZNF775	285971	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.200	0.392	-0.767	-0.323	-0.513	0.002	-0.161	-0.013
GIMAP8	155038	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.200	0.392	-0.548	-0.323	-0.513	0.002	-0.161	-0.013
LOC285972	285972	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.200	0.392	-0.666	-0.323	-0.513	0.002	-0.161	-0.013
LOC728743	728743	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	0.081	-0.200	0.392	-0.666	-0.323	-0.513	0.002	-0.161	-0.013
GIMAP7	168537	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	-0.027	-0.200	0.392	-0.515	-0.323	-0.513	0.002	-0.161	-0.013
GIMAP4	55303	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	-0.161	-0.344	0.392	-0.515	-0.323	-0.513	0.002	-0.161	-0.013
GIMAP6	474344	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	-0.242	-0.488	0.392	-0.515	-0.323	-0.513	0.002	-0.161	-0.013
GIMAP1-GIMAP5	100527949	7q36.1	0.410	-0.271	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	-0.242	-0.488	0.392	-0.612	-0.323	-0.513	0.002	-0.161	-0.013
GIMAP1	170575	7q36.1	0.410	-0.221	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	-0.242	-0.488	0.392	-0.515	-0.323	-0.513	0.002	-0.161	-0.013
GIMAP2	26157	7q36.1	0.410	-0.151	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	-0.242	-0.488	0.392	-0.515	-0.323	-0.513	0.002	-0.161	-0.013
GIMAP5	55340	7q36.1	0.410	-0.431	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	-0.242	-0.488	0.392	-0.741	-0.323	-0.513	0.002	-0.161	-0.013
TMEM176B	28959	7q36.1	0.410	-0.570	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	-0.242	-0.488	0.392	-1.133	-0.323	-0.513	0.002	-0.161	-0.013
TMEM176A	55365	7q36.1	0.410	-0.540	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	-0.219	-0.468	0.347	-1.167	-0.323	-0.513	0.002	-0.161	-0.013
ABP1	26	7q36.1	0.410	-0.357	-0.288	-0.230	0.004	-0.001	-0.006	-0.010	-0.081	-0.353	0.081	-1.005	-0.323	-0.513	0.002	-0.161	-0.013
KCNH2	3757	7q36.1	0.410	-0.158	-0.288	-0.244	0.004	-0.001	-0.006	-0.010	0.068	-0.228	-0.206	-0.829	-0.323	-0.513	0.002	-0.161	-0.013
NOS3	4846	7q36.1	0.410	-0.143	-0.288	-0.600	0.004	-0.001	-0.006	-0.010	0.080	-0.218	-0.229	-0.815	-0.323	-0.513	0.002	-0.161	-0.013
ATG9B	285973	7q36.1	0.410	-0.143	-0.288	-0.619	0.004	-0.001	-0.006	-0.010	0.080	-0.218	-0.229	-0.815	-0.323	-0.478	0.002	-0.161	-0.013
ABCB8	11194	7q36.1	0.410	-0.143	-0.288	-0.433	0.004	-0.001	-0.006	-0.010	0.080	-0.100	-0.229	-0.815	-0.323	-0.422	0.002	-0.161	-0.013
ACCN3	9311	7q36.1	0.410	-0.143	-0.287	-0.248	0.004	-0.001	-0.006	-0.010	0.080	-0.015	-0.186	-0.815	-0.323	-0.422	0.002	-0.161	-0.013
CDK5	1020	7q36.1	0.410	-0.143	-0.268	-0.248	0.004	-0.001	-0.006	-0.011	0.075	-0.015	0.017	-0.815	-0.327	-0.422	0.002	-0.161	-0.013
SLC4A2	6522	7q36.1	0.410	-0.143	-0.265	-0.248	0.004	-0.001	-0.006	-0.014	0.044	-0.015	0.017	-0.815	-0.331	-0.422	0.002	-0.161	-0.013
FASTK	10922	7q36.1	0.410	-0.004	-0.265	-0.248	0.004	-0.001	-0.006	-0.014	0.041	-0.015	0.017	-0.815	-0.331	-0.422	0.002	-0.161	-0.013
TMUB1	83590	7q36.1	0.410	0.039	-0.265	-0.248	0.004	-0.001	-0.006	-0.014	0.041	-0.015	0.017	-0.815	-0.331	-0.422	0.002	-0.161	-0.013
AGAP3	116988	7q36.1	0.410	0.039	-0.265	-0.248	0.004	-0.001	-0.006	-0.014	0.041	-0.015	0.017	-0.815	-0.331	-0.422	0.002	-0.161	-0.013
GBX1	2636	7q36.1	0.410	0.039	-0.265	-0.248	0.004	-0.001	-0.006	-0.014	0.041	-0.015	0.017	-0.815	-0.331	-0.422	0.002	-0.161	-0.013
ASB10	136371	7q36.1	0.410	0.039	-0.265	-0.248	0.004	-0.001	-0.006	-0.014	0.041	-0.015	0.017	-0.815	-0.331	-0.422	0.002	-0.161	-0.013
ABCF2	10061	7q36.1	0.410	0.039	-0.265	-0.248	0.004	-0.001	-0.006	-0.014	0.041	-0.015	0.017	-0.815	-0.331	-0.422	0.002	-0.058	-0.013
CHPF2	54480	7q36.1	0.410	0.039	-0.265	-0.248	0.004	-0.001	-0.006	-0.014	0.041	-0.015	0.017	-0.815	-0.331	-0.422	0.002	0.237	-0.013
MIR671	768213	7q36.1	0.410	0.039	-0.265	-0.248	0.004	-0.001	-0.006	-0.014	0.041	-0.015	0.017	-0.815	-0.331	-0.422	0.002	0.237	-0.013
hsa-mir-671	-1736	7q36.1	0.410	0.039	-0.265	-0.248	0.004	-0.001	-0.006	-0.014	0.041	-0.015	0.017	-0.815	-0.331	-0.422	0.002	0.237	-0.013
SMARCD3	6604	7q36.1	0.410	0.039	-0.265	-0.248	0.004	-0.001	-0.006	-0.014	0.041	-0.015	0.017	-0.815	-0.331	-0.422	0.002	0.237	-0.013
NUB1	51667	7q36.1	0.410	0.039	-0.265	-0.248	0.004	-0.001	-0.006	-0.014	0.041	-0.015	0.017	-0.815	-0.331	-0.422	0.002	0.237	-0.013
WDR86	349136	7q36.1	0.410	0.039	-0.265	-0.248	0.004	-0.001	-0.006	-0.014	0.041	-0.015	0.017	-0.815	-0.331	-0.422	0.002	0.212	-0.013
