rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
7649	GJC2	gap junction protein, gamma 2, 47kDa	1382	968	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7650	GJC3	gap junction protein, gamma 3, 30.2kDa	844	44	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7651	GJD2	gap junction protein, delta 2, 36kDa	970	18	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7652	GJD3	gap junction protein, delta 3, 31.9kDa	885	0	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7653	GJD4	gap junction protein, delta 4, 40.1kDa	1117	83	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7654	GK	glycerol kinase	1760	711	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7655	GK2	glycerol kinase 2	1664	494	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7656	GK5	glycerol kinase 5 (putative)	1650	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7657	GKAP1	G kinase anchoring protein 1	1145	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7658	GKN1	gastrokine 1	622	413	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7659	GKN2	gastrokine 2	575	92	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7660	GLA	galactosidase, alpha	1316	701	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7661	GLB1	galactosidase, beta 1	3383	152	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7662	GLB1L	galactosidase, beta 1-like	2797	185	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7663	GLB1L2	galactosidase, beta 1-like 2	1983	65	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7664	GLB1L3	galactosidase, beta 1-like 3	2038	72	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7665	GLCCI1	glucocorticoid induced transcript 1	1672	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7666	GLCE	glucuronic acid epimerase	1866	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7667	GLDN	gliomedin	1692	427	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7668	GLE1	GLE1 RNA export mediator homolog (yeast)	2171	26	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7669	GLI1	glioma-associated oncogene homolog 1 (zinc finger protein)	3365	23	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7670	GLI2	GLI-Kruppel family member GLI2	4811	32	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7671	GLI3	GLI-Kruppel family member GLI3 (Greig cephalopolysyndactyly syndrome)	4799	24	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7672	GLI4	GLI-Kruppel family member GLI4	1143	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7673	GLIPR1	GLI pathogenesis-related 1 (glioma)	1077	126	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7674	GLIPR1L1	GLI pathogenesis-related 1 like 1	720	280	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7675	GLIPR1L2	GLI pathogenesis-related 1 like 2	776	397	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7676	GLIPR2	GLI pathogenesis-related 2	483	34	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7677	GLIS1	GLIS family zinc finger 1	1895	333	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7678	GLIS2	GLIS family zinc finger 2	1597	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7679	GLIS3	GLIS family zinc finger 3	2833	359	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7680	GLMN	glomulin, FKBP associated protein	2008	399	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7681	GLO1	glyoxalase I	575	128	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7682	GLOD4	glyoxalase domain containing 4	1461	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7683	GLP1R	glucagon-like peptide 1 receptor	1442	639	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7684	GLP2R	glucagon-like peptide 2 receptor	1710	55	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7685	GLRA1	glycine receptor, alpha 1	1406	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7686	GLRA2	glycine receptor, alpha 2	1463	40	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7687	GLRA3	glycine receptor, alpha 3	1431	59	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7688	GLRA4	glycine receptor, alpha 4	1592	170	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7689	GLRB	glycine receptor, beta	1530	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7690	GLRX	glutaredoxin (thioltransferase)	329	21	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7691	GLRX2	glutaredoxin 2	633	366	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7692	GLRX3	glutaredoxin 3	1050	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7693	GLRX5	glutaredoxin 5	478	32	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7694	GLS2	glutaminase 2 (liver, mitochondrial)	1877	129	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7695	GLT1D1	glycosyltransferase 1 domain containing 1	831	412	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7696	GLT25D1	glycosyltransferase 25 domain containing 1	1945	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7697	GLT25D2	glycosyltransferase 25 domain containing 2	1925	179	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7698	GLT6D1	glycosyltransferase 6 domain containing 1	847	877	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7699	GLT8D1	glycosyltransferase 8 domain containing 1	1464	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7700	GLT8D2	glycosyltransferase 8 domain containing 2	1086	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7701	GLTP	glycolipid transfer protein	646	621	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7702	GLTPD1	glycolipid transfer protein domain containing 1	657	147	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7703	GLTPD2	glycolipid transfer protein domain containing 2	899	206	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7704	GLTSCR1	glioma tumor suppressor candidate region gene 1	4735	37	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7705	GLTSCR2	glioma tumor suppressor candidate region gene 2	1489	119	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7706	GLUD1	glutamate dehydrogenase 1	1725	451	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7707	GLUD2	glutamate dehydrogenase 2	1679	145	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7708	GLUL	glutamate-ammonia ligase (glutamine synthetase)	1146	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7709	GLYAT	glycine-N-acyltransferase	913	90	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7710	GLYATL1	glycine-N-acyltransferase-like 1	1028	478	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7711	GLYATL2	glycine-N-acyltransferase-like 2	905	162	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7712	GLYCTK	glycerate kinase	1588	30	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7713	GLYR1	glyoxylate reductase 1 homolog (Arabidopsis)	1724	198	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7714	GM2A	GM2 ganglioside activator	745	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7715	GMCL1	germ cell-less homolog 1 (Drosophila)	1600	304	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7716	GMDS	GDP-mannose 4,6-dehydratase	1159	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7717	GMEB1	glucocorticoid modulatory element binding protein 1	1763	698	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7718	GMEB2	glucocorticoid modulatory element binding protein 2	1629	499	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7719	GMFB	glia maturation factor, beta	455	67	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7720	GMFG	glia maturation factor, gamma	453	117	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7721	GML	glycosylphosphatidylinositol anchored molecule like protein	489	281	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7722	GMNN	geminin, DNA replication inhibitor	654	743	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7723	GMPPA	GDP-mannose pyrophosphorylase A	1315	347	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7724	GMPPB	GDP-mannose pyrophosphorylase B	1192	330	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7725	GMPR	guanosine monophosphate reductase	1070	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7726	GMPR2	guanosine monophosphate reductase 2	1134	498	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7727	GMPS	guanine monphosphate synthetase	2144	787	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7728	GNA11	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	1104	467	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7729	GNA12	guanine nucleotide binding protein (G protein) alpha 12	1158	400	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7730	GNA13	guanine nucleotide binding protein (G protein), alpha 13	1146	576	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7731	GNA14	guanine nucleotide binding protein (G protein), alpha 14	1092	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7732	GNA15	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)	1149	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7733	GNAI1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	1093	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7734	GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2	1109	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7735	GNAI3	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	1097	129	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7736	GNAL	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type	1785	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7737	GNAO1	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O	1445	4	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7738	GNAQ	guanine nucleotide binding protein (G protein), q polypeptide	1106	815	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7739	GNAS	GNAS complex locus	4050	168	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7740	GNAT1	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1	1084	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7741	GNAT2	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2	1095	501	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7742	GNAT3	guanine nucleotide binding protein, alpha transducing 3	1091	69	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7743	GNB1	guanine nucleotide binding protein (G protein), beta polypeptide 1	1063	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7744	GNB1L	guanine nucleotide binding protein (G protein), beta polypeptide 1-like	2046	491	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7745	GNB2L1	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	984	469	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7746	GNB3	guanine nucleotide binding protein (G protein), beta polypeptide 3	1483	391	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7747	GNB4	guanine nucleotide binding protein (G protein), beta polypeptide 4	1059	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7748	GNB5	guanine nucleotide binding protein (G protein), beta 5	1324	711	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7749	GNG10	guanine nucleotide binding protein (G protein), gamma 10	217	7	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7750	GNG11	guanine nucleotide binding protein (G protein), gamma 11	226	15	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7751	GNG12	guanine nucleotide binding protein (G protein), gamma 12	227	0	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7752	GNG13	guanine nucleotide binding protein (G protein), gamma 13	212	42	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7753	GNG2	guanine nucleotide binding protein (G protein), gamma 2	224	12	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7754	GNG3	guanine nucleotide binding protein (G protein), gamma 3	460	84	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7755	GNG4	guanine nucleotide binding protein (G protein), gamma 4	236	6	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7756	GNG5	guanine nucleotide binding protein (G protein), gamma 5	215	3	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7757	GNG7	guanine nucleotide binding protein (G protein), gamma 7	215	21	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7758	GNG8	guanine nucleotide binding protein (G protein), gamma 8	216	41	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7759	GNGT1	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1	235	15	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7760	GNGT2	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2	223	44	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7761	GNL1	guanine nucleotide binding protein-like 1	1907	74	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7762	GNL2	guanine nucleotide binding protein-like 2 (nucleolar)	2258	12	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7763	GNL3	guanine nucleotide binding protein-like 3 (nucleolar)	1714	4	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7764	GNL3L	guanine nucleotide binding protein-like 3 (nucleolar)-like	1809	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7765	GNLY	granulysin	463	580	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7766	GNMT	glycine N-methyltransferase	910	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7767	GNPAT	glyceronephosphate O-acyltransferase	2550	44	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7768	GNPDA1	glucosamine-6-phosphate deaminase 1	894	741	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7769	GNPDA2	glucosamine-6-phosphate deaminase 2	855	885	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7770	GNPNAT1	glucosamine-phosphate N-acetyltransferase 1	575	937	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7771	GNPTAB	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits	3851	150	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7772	GNPTG	N-acetylglucosamine-1-phosphate transferase, gamma subunit	1449	55	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7773	GNRH1	gonadotropin-releasing hormone 1 (luteinizing-releasing hormone)	290	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7774	GNRH2	gonadotropin-releasing hormone 2	377	50	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7775	GNRHR	gonadotropin-releasing hormone receptor	995	158	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7776	GNS	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	1711	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7777	GOLGA1	golgi autoantigen, golgin subfamily a, 1	2384	269	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7778	GOLGA2B		451	198	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7779	GOLGA4	golgi autoantigen, golgin subfamily a, 4	6881	1	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7780	GOLGA5	golgi autoantigen, golgin subfamily a, 5	2244	586	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7781	GOLGA6A	golgin A6 family, member A	2152	259	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7782	GOLGA6B	golgi autoantigen, golgin subfamily a, 6B	2066	81	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7783	GOLGA6C	golgin A6 family, member C	2152	257	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7784	GOLGA6D	golgin A6 family, member D	2152	254	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7785	GOLGA7	golgi autoantigen, golgin subfamily a, 7	439	73	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7786	GOLGA7B	golgin A7 family, member B	578	227	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7787	GOLGA8A	golgi autoantigen, golgin subfamily a, 8A	1872	11	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7788	GOLGA8B	golgi autoantigen, golgin subfamily a, 8B	1872	0	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7789	GOLIM4	golgi integral membrane protein 4	2151	96	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7790	GOLM1	golgi membrane protein 1	1242	346	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7791	GOLPH3	golgi phosphoprotein 3 (coat-protein)	909	218	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7792	GOLPH3L	golgi phosphoprotein 3-like	1032	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7793	GOLT1A	golgi transport 1 homolog A (S. cerevisiae)	415	135	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7794	GOLT1B	golgi transport 1 homolog B (S. cerevisiae)	449	96	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7795	GOPC	golgi associated PDZ and coiled-coil motif containing	1421	139	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7796	GORAB	golgin, RAB6-interacting	1205	81	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7797	GORASP1	golgi reassembly stacking protein 1, 65kDa	1554	655	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7798	GORASP2	golgi reassembly stacking protein 2, 55kDa	1395	232	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7799	GOSR1	golgi SNAP receptor complex member 1	791	157	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7800	GOSR2	golgi SNAP receptor complex member 2	831	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7801	GOT1	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	1274	865	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7802	GOT1L1	glutamic-oxaloacetic transaminase 1-like 1	1258	848	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7803	GOT2	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)	1329	491	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7804	GP5	glycoprotein V (platelet)	1687	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7805	GP6	glycoprotein VI (platelet)	1893	468	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7806	GP9	glycoprotein IX (platelet)	538	66	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7807	GPA33	glycoprotein A33 (transmembrane)	984	719	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7808	GPAA1	glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast)	2403	115	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7809	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial	2567	236	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7810	GPAT2	glycerol-3-phosphate acyltransferase 2, mitochondrial	2472	14	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7811	GPATCH2	G patch domain containing 2	1673	950	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7812	GPATCH3	G patch domain containing 3	1604	259	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7813	GPATCH4	G patch domain containing 4	1176	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7814	GPBP1	GC-rich promoter binding protein 1	1487	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7815	GPBP1L1	GC-rich promoter binding protein 1-like 1	1465	580	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7816	GPC1	glypican 1	1709	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7817	GPC2	glypican 2	1776	10	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7818	GPC3	glypican 3	1844	24	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7819	GPC4	glypican 4	1703	99	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7820	GPC6	glypican 6	1700	939	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7821	GPCPD1	glycerophosphocholine phosphodiesterase GDE1 homolog (S. cerevisiae)	2095	145	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7822	GPD1	glycerol-3-phosphate dehydrogenase 1 (soluble)	1080	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7823	GPD1L	glycerol-3-phosphate dehydrogenase 1-like	1084	426	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7824	GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	2248	134	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7825	GPER	G protein-coupled estrogen receptor 1	1128	361	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7826	GPHA2	glycoprotein hormone alpha 2	400	335	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7827	GPHB5	glycoprotein hormone beta 5	280	32	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7828	GPHN	gephyrin	2398	14	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7829	GPI	glucose phosphate isomerase	1866	715	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7830	GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1	569	28	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7831	GPKOW	G patch domain and KOW motifs	1473	587	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7832	GPLD1	glycosylphosphatidylinositol specific phospholipase D1	2660	678	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7833	GPM6A	glycoprotein M6A	871	440	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7834	GPM6B	glycoprotein M6B	1104	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7835	GPN2	GPN-loop GTPase 2	1365	260	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7836	GPN3	GPN-loop GTPase 3	1086	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7837	GPNMB	glycoprotein (transmembrane) nmb	1759	557	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7838	GPR1	G protein-coupled receptor 1	1072	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7839	GPR101	G protein-coupled receptor 101	1526	94	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7840	GPR107	G protein-coupled receptor 107	1879	610	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7841	GPR108	G protein-coupled receptor 108	1702	316	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7842	GPR109A	G protein-coupled receptor 109A	1094	925	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7843	GPR109B	G protein-coupled receptor 109B	1164	361	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7844	GPR110	G protein-coupled receptor 110	2837	357	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7845	GPR111	G protein-coupled receptor 111	1961	356	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7846	GPR113	G protein-coupled receptor 113	3550	67	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7847	GPR114	G protein-coupled receptor 114	1631	134	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7848	GPR115	G protein-coupled receptor 115	2124	357	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7849	GPR116	G protein-coupled receptor 116	4121	0	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7850	GPR119	G protein-coupled receptor 119	1012	137	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7851	GPR12	G protein-coupled receptor 12	1009	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7852	GPR120	G protein-coupled receptor 120	1146	351	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7853	GPR123	G protein-coupled receptor 123	1703	29	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7854	GPR125	G protein-coupled receptor 125	4038	16	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7855	GPR132	G protein-coupled receptor 132	1147	275	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7856	GPR135	G protein-coupled receptor 135	1485	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7857	GPR137	G protein-coupled receptor 137	1676	48	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7858	GPR137B	G protein-coupled receptor 137B	1226	77	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7859	GPR139	G protein-coupled receptor 139	1068	268	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7860	GPR141	G protein-coupled receptor 141	918	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7861	GPR142	G protein-coupled receptor 142	1401	130	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7862	GPR143	G protein-coupled receptor 143	1247	0	0	2	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7863	GPR146	G protein-coupled receptor 146	1004	931	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7864	GPR149	G protein-coupled receptor 149	2212	429	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7865	GPR15	G protein-coupled receptor 15	1081	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7866	GPR150	G protein-coupled receptor 150	1305	7	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
7867	GPR151	G protein-coupled receptor 151	1260	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
